country,count
US,1837
IN,507
JP,422
GB,358
KR,328
CA,189
ES,183
FR,152
DE,113
MX,96
IT,88
ID,87
PL,85
BR,80
CN,75
TR,71
AU,63
TH,63
BE,61
AR,55
PH,49
TW,40
SE,40
ZA,33
DK,31
NO,28
CO,27
NL,23
EG,20
MY,20
IE,17
NG,13
SA,12
HK,11
CL,10
IL,8
CH,7
RO,6
AE,6
FI,6
RU,6
NZ,5
JO,4
PE,4
PT,3
GR,3
HU,3
CZ,3
AT,3
UA,3
LB,3
SG,3
VN,3
MA,2
CD,2
AL,2
MW,1
FO,1
IS,1
BN,1
PA,1
LU,1
CY,1
NP,1
CU,1
BW,1
GE,1
BG,1
EE,1
KW,1
VE,1
KH,1
UY,1
PY,1
